"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Mar 27, 2026",169.99,170.97,167.01,167.52,167.52,194056113
"Mar 26, 2026",176.07,176.51,171.14,171.24,171.24,186152200
"Mar 25, 2026",177.10,181.22,176.85,178.68,178.68,162602100
"Mar 24, 2026",174.83,176.22,173.98,175.20,175.20,147667800
"Mar 23, 2026",177.26,178.37,174.76,175.64,175.64,182836300
"Mar 20, 2026",178.00,178.26,171.72,172.70,172.70,241323500
"Mar 19, 2026",178.01,179.98,175.79,178.56,178.56,170968500
"Mar 18, 2026",182.48,183.38,180.33,180.40,180.40,156683100
"Mar 17, 2026",185.06,185.40,181.68,181.93,181.93,182497800
"Mar 16, 2026",182.97,188.88,181.41,183.22,183.22,217307400
"Mar 13, 2026",184.92,186.09,179.94,180.25,180.25,160988400
"Mar 12, 2026",184.05,184.94,181.75,183.14,183.14,155762700
"Mar 11, 2026",185.91,187.62,184.45,186.03,186.03,145280400
"Mar 10, 2026",182.40,186.44,182.01,184.77,184.76,179118500
"Mar 09, 2026",176.83,182.91,175.56,182.65,182.64,177213600
"Mar 06, 2026",179.84,182.76,176.82,177.82,177.81,189021900
"Mar 05, 2026",181.17,184.06,177.88,183.34,183.33,198779700
"Mar 04, 2026",180.44,184.70,180.06,183.04,183.03,177731200
"Mar 03, 2026",178.49,180.90,176.92,180.05,180.04,178099400
"Mar 02, 2026",175.01,183.46,174.64,182.48,182.47,209095300
"Feb 27, 2026",181.25,182.59,176.38,177.19,177.18,311636500
"Feb 26, 2026",194.27,194.29,184.32,184.89,184.88,360807900
"Feb 25, 2026",194.45,197.63,193.79,195.56,195.55,250637100
"Feb 24, 2026",191.49,193.77,187.40,192.85,192.84,175123600
"Feb 23, 2026",191.40,193.95,189.58,191.55,191.54,171584800
"Feb 20, 2026",186.57,190.33,185.94,189.82,189.81,178422300
"Feb 19, 2026",187.06,188.43,185.66,187.90,187.89,126554500
"Feb 18, 2026",188.75,190.37,186.76,187.98,187.97,164749100
"Feb 17, 2026",181.75,187.15,179.18,184.97,184.96,162276900
"Feb 13, 2026",187.48,187.50,181.59,182.81,182.80,161888000
"Feb 12, 2026",193.03,193.61,186.51,186.94,186.93,189932500
"Feb 11, 2026",192.45,193.26,188.77,190.05,190.04,144192700
"Feb 10, 2026",191.38,192.48,188.12,188.54,188.53,136764800
"Feb 09, 2026",184.26,193.66,183.95,190.04,190.03,196387400
"Feb 06, 2026",176.69,187.00,174.60,185.41,185.40,231346200
"Feb 05, 2026",174.93,176.82,171.03,171.88,171.87,206312900
"Feb 04, 2026",179.46,179.58,171.91,174.19,174.18,207014100
"Feb 03, 2026",186.24,186.27,176.23,180.34,180.33,204019600
"Feb 02, 2026",187.20,190.30,184.88,185.61,185.60,165794100
"Jan 30, 2026",191.21,194.49,189.47,191.13,191.12,179489500
"Jan 29, 2026",191.34,193.48,186.06,192.51,192.50,171764400
"Jan 28, 2026",191.27,192.35,189.84,191.52,191.51,148552700
"Jan 27, 2026",187.24,190.00,185.70,188.52,188.51,143711600
"Jan 26, 2026",187.16,189.12,185.99,186.47,186.46,124799600
"Jan 23, 2026",187.50,189.60,186.82,187.67,187.66,142748100
"Jan 22, 2026",184.75,186.17,183.93,184.84,184.83,139636600
"Jan 21, 2026",179.05,185.38,178.40,183.32,183.31,200381000
